N,P,K,temperature,humidity,ph,rainfall,label
0,145,205,21.036528,92.607673,5.740542,114.78349,apple
0,145,205,21.225034,90.098778,5.520783,113.976046,apple
0,145,205,21.036528,92.571654,5.514253,110.974557,apple
29,145,205,22.812276,92.129921,6.212303,109.338355,apple
29,145,205,22.340156,92.760511,6.306078,106.190779,apple
5,144,205,21.421772,92.626653,6.184923,102.804566,apple
5,144,205,23.761218,92.626653,5.965551,102.804566,apple
28,144,205,22.89948,91.351666,6.214501,107.850788,apple
29,144,205,23.641424,92.486677,6.155939,116.691218,apple
17,143,205,23.574331,91.391412,5.643002,123.219665,apple
34,141,205,21.036528,90.335395,5.635689,101.903017,apple
30,140,205,23.774734,94.137453,6.124801,118.155568,apple
27,139,205,22.48403,93.408192,5.77218,105.547363,apple
29,139,205,23.641424,93.744615,6.155939,116.691218,apple
26,138,205,22.312577,93.683421,5.770974,103.258413,apple
29,137,205,23.641424,93.128599,5.824152,117.729673,apple
28,136,205,22.726908,92.131333,5.902377,106.61811,apple
10,134,205,21.304045,94.083908,6.460055,106.728061,apple
33,134,205,21.036528,94.339195,6.085519,114.741273,apple
12,129,205,22.362383,91.157616,6.119432,118.683273,apple
12,129,205,22.362511,91.159402,6.119488,118.681897,apple
5,128,205,22.60801,91.923605,6.22629,116.039659,apple
14,128,205,21.98765,94.920481,6.302309,119.495829,apple
14,128,205,22.60801,94.589006,6.22629,116.039659,apple
30,128,205,23.328714,92.844788,6.29613,100.117344,apple
33,128,205,21.679758,93.09518,6.077355,104.923413,apple
35,128,205,21.072734,93.56586,6.041054,107.873702,apple
27,127,205,23.4499,94.920481,6.451568,116.517125,apple
35,127,205,21.036528,94.800192,6.042712,108.387106,apple
6,126,205,23.504718,92.148691,5.924335,108.824713,apple
30,126,205,21.76862,94.201625,5.902399,100.117344,apple
19,124,205,22.735704,92.314567,6.23988,103.02815,apple
0,123,205,22.027754,92.961295,5.790993,121.134918,apple
2,123,205,22.366293,90.785725,5.739652,124.983162,apple
35,123,205,21.897549,92.44112,6.266051,104.388999,apple
2,122,205,22.468558,94.920481,5.719713,107.762958,apple
12,122,205,21.377847,92.720437,6.119432,118.683273,apple
18,121,205,23.033333,90.171781,5.786726,112.098257,apple
35,121,205,22.20701,93.505742,6.443383,120.159377,apple
8,120,205,21.401729,90.520732,6.474276,120.231909,apple
29,145,204,23.089507,90.225073,6.096753,109.338355,apple
22,144,204,21.911913,91.687481,6.096753,117.076128,apple
29,144,204,22.312491,92.13425,5.80556,119.426726,apple
29,144,204,22.433245,92.486677,5.800449,119.102519,apple
36,144,204,23.651676,94.505288,5.824152,117.729673,apple
16,143,204,23.714753,91.533312,5.631333,121.896166,apple
33,143,204,21.131608,91.957699,5.814435,122.539195,apple
33,143,204,21.131608,91.533312,5.631333,121.896166,apple
28,142,204,23.129157,92.787007,6.115914,107.878117,apple
29,142,204,22.827765,92.897445,5.916531,118.315131,apple
25,139,204,22.84294,92.986043,5.736151,106.407466,apple
9,137,204,21.223278,92.208148,6.266077,105.517122,apple
32,137,204,22.860066,93.128599,5.824152,117.729673,apple
10,136,204,21.198522,92.155951,6.276199,105.855435,apple
29,136,204,22.433245,91.923605,6.264203,119.102519,apple
35,135,204,21.589515,94.411438,6.039791,115.590823,apple
28,134,204,22.926384,91.082645,6.009309,107.497518,apple
28,133,204,23.051997,90.025751,6.173041,107.091321,apple
29,132,204,23.089507,90.225073,6.096753,108.21666,apple
30,132,204,23.027851,90.569076,6.077815,107.704814,apple
30,131,204,22.688487,90.889363,6.085678,108.148465,apple
36,131,204,22.325328,93.610486,6.005876,104.590082,apple
29,130,204,22.134506,94.676957,5.800449,119.102519,apple
31,130,204,22.249501,91.616544,6.073554,108.073814,apple
32,130,204,22.860066,93.128599,5.824152,112.920322,apple
18,127,204,22.355482,94.478118,6.046674,116.736626,apple
30,127,204,22.500503,92.458783,6.126437,100.93439,apple
31,127,204,22.11111,92.760714,6.10315,102.826935,apple
12,126,204,23.098597,92.885493,6.348157,108.30297,apple
13,126,204,23.109426,92.796308,6.38318,108.183792,apple
17,125,204,22.433034,91.816935,6.195474,101.604887,apple
18,125,204,22.355482,94.478118,6.046674,116.736626,apple
18,125,204,22.432854,94.274304,6.013027,116.688307,apple
15,124,204,22.378325,92.431891,6.329961,116.526742,apple
16,124,204,22.442738,93.294488,6.362818,116.128721,apple
26,124,204,22.39723,92.572329,6.35951,111.314306,apple
15,123,204,22.527093,92.547804,6.365973,115.383007,apple
35,123,204,21.170892,92.547804,6.365973,115.383007,apple
3,122,204,22.284203,90.831868,5.715814,123.8922,apple
27,120,204,21.494709,90.025751,6.064318,112.235424,apple
32,145,203,23.830537,90.844222,6.406819,109.596679,apple
32,145,203,23.816198,90.853717,6.401475,109.57216,apple
32,143,203,23.714753,91.533312,5.821348,109.065847,apple
33,143,203,21.514419,90.849429,5.869502,122.412131,apple
15,142,203,23.403024,91.278852,5.751995,122.415017,apple
35,142,203,21.170892,90.237302,5.895319,123.649515,apple
35,142,203,21.202669,90.250117,5.904571,123.62384,apple
32,141,203,21.186674,92.844162,6.321152,122.233323,apple
32,141,203,21.259411,92.844162,5.821348,109.065847,apple
32,141,203,21.253123,92.63194,5.805708,108.504851,apple
24,140,203,23.696503,92.63625,6.031982,100.372254,apple
1,136,203,22.838232,92.318056,5.625495,115.537951,apple
40,136,203,22.846852,94.920481,5.939935,118.275892,apple
1,135,203,22.778565,92.486677,5.624203,119.102519,apple
1,135,203,22.761172,92.617027,5.646671,114.372648,apple
1,135,203,22.778565,92.70124,5.624203,113.775922,apple
37,135,203,22.016958,94.46728,6.004444,116.2475,apple
38,135,203,23.761218,93.661643,5.965551,100.825956,apple
0,133,203,23.761218,90.493557,5.708419,100.825956,apple
33,133,203,23.627085,90.91428,6.026255,117.985778,apple
30,132,203,22.803846,90.273977,6.119842,108.819166,apple
35,131,203,22.427761,93.917224,5.893491,102.723074,apple
18,129,203,23.109015,92.784702,5.827712,116.063468,apple
35,128,203,22.194623,94.920481,5.808855,102.380106,apple
19,127,203,22.772808,93.3788,5.865193,116.476003,apple
34,127,203,21.036528,93.533894,6.057842,106.982905,apple
2,126,203,22.557803,92.43469,5.713273,123.676731,apple
18,125,203,22.443077,91.59234,6.160267,102.556581,apple
0,123,203,22.58504,93.064825,5.747108,118.330911,apple
32,121,203,22.33976,94.293928,5.664794,115.058208,apple
33,121,203,22.456967,94.762854,5.605934,114.840772,apple
1,120,203,22.957403,94.567275,5.948624,110.253941,apple
2,120,203,23.126527,94.712033,5.893493,108.621183,apple
6,120,203,23.072248,90.926388,5.906622,106.768124,apple
28,120,203,22.949886,94.920481,6.164924,118.934593,apple
2,145,202,22.160091,91.61282,5.738993,114.002841,apple
27,144,202,22.812212,91.871094,6.133978,108.710396,apple
15,143,202,23.498892,92.06165,5.703582,121.984585,apple
28,143,202,22.76643,91.533312,5.631333,120.435995,apple
17,142,202,23.666645,91.252033,5.656652,117.887851,apple
24,142,202,22.537797,91.481358,5.71082,101.847477,apple
27,142,202,23.996862,93.053985,6.009877,100.117344,apple
35,142,202,22.542476,90.025751,5.813388,117.380083,apple
27,141,202,22.313089,91.279928,5.696341,104.210119,apple
31,141,202,21.259875,92.266797,5.801259,111.305441,apple
34,141,202,21.251406,93.786584,5.763727,122.420502,apple
33,140,202,21.608122,92.172123,5.790167,108.882589,apple
20,139,202,23.502014,92.21084,5.669991,107.986895,apple
20,139,202,23.504591,92.237282,5.674406,107.946453,apple
31,139,202,22.939921,90.036661,5.646483,118.068654,apple
1,136,202,22.612805,92.37393,5.732042,114.130045,apple
8,136,202,21.281077,90.759694,5.618363,103.976723,apple
40,136,202,22.852674,94.576458,5.935336,117.531403,apple
34,126,202,21.036528,93.584422,5.936188,107.393738,apple
28,123,202,22.76643,92.124385,6.442289,120.435995,apple
19,122,202,23.344674,90.379815,5.811975,112.895402,apple
26,122,202,22.44517,94.737635,5.617227,107.184327,apple
26,121,202,21.509046,90.025751,6.12255,116.735411,apple
30,121,202,23.132326,90.99803,5.760145,110.181082,apple
31,121,202,22.131266,93.459786,5.769496,115.44499,apple
34,120,202,22.677974,94.491002,5.59494,113.657697,apple
6,145,201,21.665599,90.025751,5.514253,100.811031,apple
7,145,201,23.996862,94.920481,6.124042,116.37524,apple
35,145,201,23.727065,93.169535,6.48579,115.474354,apple
6,144,201,21.335457,93.506254,5.690835,104.985864,apple
27,143,201,23.666821,91.957699,5.952368,122.539195,apple
24,142,201,22.608044,91.490899,5.791864,103.385871,apple
32,142,201,21.730698,90.24084,6.499227,116.343563,apple
34,142,201,21.095343,90.025751,5.82984,124.983162,apple
34,142,201,21.554101,94.25673,5.782928,117.217894,apple
35,142,201,21.224547,93.702668,5.780476,117.022184,apple
10,141,201,22.355183,91.70171,6.280714,104.706644,apple
10,141,201,22.126594,90.978183,6.386021,104.541228,apple
17,138,201,23.996862,90.025751,5.667087,101.920728,apple
27,138,201,23.666821,93.901911,5.952368,105.400475,apple
20,136,201,23.062044,91.699133,5.587906,116.077793,apple
39,136,201,22.760382,93.934211,5.982777,118.392521,apple
27,132,201,22.7532,90.498755,5.937787,104.679491,apple
0,131,201,22.701502,94.920481,5.731513,121.39906,apple
2,129,201,22.735786,93.893558,5.732962,122.458193,apple
2,129,201,22.782342,94.368035,5.682344,122.144995,apple
20,129,201,23.410447,91.699133,5.636687,116.077793,apple
20,129,201,23.410447,91.699133,5.587906,116.077793,apple
31,125,201,22.355482,90.343969,6.046674,116.736626,apple
6,124,201,23.138761,92.858431,5.956056,110.772349,apple
18,123,201,22.626256,91.569002,6.175274,102.530715,apple
28,122,201,21.036528,90.025751,6.305139,120.369703,apple
26,121,201,22.191094,90.025751,6.162034,112.312663,apple
26,121,201,22.264435,91.385874,6.004771,110.832327,apple
31,121,201,23.170231,90.388959,5.729563,110.755842,apple
31,121,201,23.157911,90.343969,5.731535,110.712841,apple
3,120,201,23.050724,94.920481,5.872409,107.59283,apple
8,120,201,21.186674,91.134357,6.321152,122.233323,apple
8,120,201,23.830537,91.134357,6.321152,109.596679,apple
20,120,201,23.181232,90.283635,5.789892,111.962946,apple
27,120,201,22.336313,90.062227,6.166754,113.046151,apple
33,145,200,23.232063,92.092515,6.348399,110.05895,apple
6,144,200,21.046388,91.06564,5.547232,105.050381,apple
25,143,200,23.68352,92.678183,5.994344,100.736439,apple
25,143,200,23.804363,92.804416,6.024249,100.619254,apple
11,142,200,22.344991,92.054529,6.356956,104.857962,apple
14,139,200,22.616998,90.819848,6.043414,110.470275,apple
23,139,200,23.171769,93.129268,5.736788,103.369622,apple
2,138,200,22.433959,92.02078,5.848394,114.512125,apple
11,138,200,22.929012,92.860993,6.044939,117.534494,apple
32,138,200,21.036528,92.127052,6.009775,106.661398,apple
35,138,200,21.199095,90.808194,5.671306,103.683892,apple
9,137,200,21.164422,90.730812,5.65849,102.974333,apple
9,137,200,21.121521,90.687877,5.636687,102.80172,apple
9,137,200,21.377847,90.687877,5.636687,102.80172,apple
30,137,200,22.9143,90.704756,5.603413,118.604464,apple
31,137,200,22.9143,93.825674,6.400321,118.604464,apple
28,136,200,23.062044,92.395441,6.245859,114.73991,apple
0,133,200,22.294235,90.69034,6.222391,104.229803,apple
0,133,200,23.672877,90.493557,5.708419,104.229803,apple
